id,name,category,generation,is_legendary,is_mythical,types,height,weight,abilities,habitat,evolves_from,description,hp,attack,defense,special_attack,special_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_steel,against_dark,against_fairy,cry_url,sprite_url,shiny_sprite_url
11,metapod,Cocoon Pokemon,Generation-i,False,False,bug,0.7,9.9,Shed skin,Forest,Caterpie,"This POKeMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",50,20,55,25,25,30,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/11.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/11.png
12,butterfree,Butterfly Pokemon,Generation-i,False,False,"bug, flying",1.1,32.0,"Compound eyes, Tinted lens (Hidden)",Forest,Metapod,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",60,45,50,90,80,70,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/12.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/12.png
13,weedle,Hairy Bug Pokemon,Generation-i,False,False,"bug, poison",0.3,3.2,"Shield dust, Run away (Hidden)",Forest,None,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",40,35,30,20,20,50,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/13.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/13.png
14,kakuna,Cocoon Pokemon,Generation-i,False,False,"bug, poison",0.6,10.0,Shed skin,Forest,Weedle,"Almost incapable of moving, this POKeMON can only harden its shell to protect itself from predators.",45,25,50,25,25,35,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/14.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/14.png
15,beedrill,Poison Bee Pokemon,Generation-i,False,False,"bug, poison",1.0,29.5,"Swarm, Sniper (Hidden)",Forest,Kakuna,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,65,90,40,45,80,75,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/15.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/15.png
16,pidgey,Tiny Bird Pokemon,Generation-i,False,False,"normal, flying",0.3,1.8,"Keen eye, Tangled feet, Big pecks (Hidden)",Forest,None,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,40,45,40,35,35,56,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/16.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/16.png
17,pidgeotto,Bird Pokemon,Generation-i,False,False,"normal, flying",1.1,30.0,"Keen eye, Tangled feet, Big pecks (Hidden)",Forest,Pidgey,"Very protective of its sprawling territorial area, this POKeMON will fiercely peck at any intruder.",63,60,55,50,50,71,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/17.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/17.png
18,pidgeot,Bird Pokemon,Generation-i,False,False,"normal, flying",1.5,39.5,"Keen eye, Tangled feet, Big pecks (Hidden)",Forest,Pidgeotto,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",83,80,75,70,70,101,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/18.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/18.png
19,rattata,Mouse Pokemon,Generation-i,False,False,normal,0.3,3.5,"Run away, Guts, Hustle (Hidden)",Grassland,None,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",30,56,35,25,35,72,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/19.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/19.png
20,raticate,Mouse Pokemon,Generation-i,False,False,normal,0.7,18.5,"Run away, Guts, Hustle (Hidden)",Grassland,Rattata,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,55,81,60,50,70,97,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/20.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/20.png
21,spearow,Tiny Bird Pokemon,Generation-i,False,False,"normal, flying",0.3,2.0,"Keen eye, Sniper (Hidden)",Rough-terrain,None,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",40,60,30,31,31,70,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/21.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/21.png
22,fearow,Beak Pokemon,Generation-i,False,False,"normal, flying",1.2,38.0,"Keen eye, Sniper (Hidden)",Rough-terrain,Spearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",65,90,65,61,61,100,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/22.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/22.png
23,ekans,Snake Pokemon,Generation-i,False,False,poison,2.0,6.9,"Intimidate, Shed skin, Unnerve (Hidden)",Grassland,None,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",35,60,44,40,54,55,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/23.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/23.png
24,arbok,Cobra Pokemon,Generation-i,False,False,poison,3.5,65.0,"Intimidate, Shed skin, Unnerve (Hidden)",Grassland,Ekans,It is rumored that the ferocious warning markings on its belly differ from area to area.,60,95,69,65,79,80,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/24.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/24.png
25,pikachu,Mouse Pokemon,Generation-i,False,False,electric,0.4,6.0,"Static, Lightning rod (Hidden)",Forest,Pichu,"When several of these POKeMON gather, their electricity could build and cause lightning storms.",35,55,40,50,50,90,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/25.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/25.png
26,raichu,Mouse Pokemon,Generation-i,False,False,electric,0.8,30.0,"Static, Lightning rod (Hidden)",Forest,Pikachu,Its long tail serves as a ground to protect itself from its own high-voltage power.,60,90,55,90,80,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/26.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/26.png
27,sandshrew,Mouse Pokemon,Generation-i,False,False,ground,0.6,12.0,"Sand veil, Sand rush (Hidden)",Rough-terrain,None,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,50,75,85,20,30,40,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/27.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/27.png
28,sandslash,Mouse Pokemon,Generation-i,False,False,ground,1.0,29.5,"Sand veil, Sand rush (Hidden)",Rough-terrain,Sandshrew,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,75,100,110,45,55,65,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/28.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/28.png
29,nidoran-f,Poison Pin Pokemon,Generation-i,False,False,poison,0.4,7.0,"Poison point, Rivalry, Hustle (Hidden)",Grassland,None,"Although small, its venomous barbs render this POKeMON dangerous. The female has smaller horns.",55,47,52,40,40,41,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/29.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/29.png
30,nidorina,Poison Pin Pokemon,Generation-i,False,False,poison,0.8,20.0,"Poison point, Rivalry, Hustle (Hidden)",Grassland,Nidoran-f,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,70,62,67,55,55,56,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/30.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/30.png
31,nidoqueen,Drill Pokemon,Generation-i,False,False,"poison, ground",1.3,60.0,"Poison point, Rivalry, Sheer force (Hidden)",Grassland,Nidorina,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,90,92,87,75,85,76,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/31.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/31.png
32,nidoran-m,Poison Pin Pokemon,Generation-i,False,False,poison,0.5,9.0,"Poison point, Rivalry, Hustle (Hidden)",Grassland,None,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",46,57,40,40,40,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/32.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/32.png
33,nidorino,Poison Pin Pokemon,Generation-i,False,False,poison,0.9,19.5,"Poison point, Rivalry, Hustle (Hidden)",Grassland,Nidoran-m,An aggressive POKeMON that is quick to attack. The horn on its head secretes a powerful venom.,61,72,57,55,55,65,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/33.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/33.png
34,nidoking,Drill Pokemon,Generation-i,False,False,"poison, ground",1.4,62.0,"Poison point, Rivalry, Sheer force (Hidden)",Grassland,Nidorino,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",81,102,77,85,75,85,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/34.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/34.png
35,clefairy,Fairy Pokemon,Generation-i,False,False,fairy,0.6,7.5,"Cute charm, Magic guard, Friend guard (Hidden)",Mountain,Cleffa,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,70,45,48,60,65,35,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/35.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/35.png
36,clefable,Fairy Pokemon,Generation-i,False,False,fairy,1.3,40.0,"Cute charm, Magic guard, Unaware (Hidden)",Mountain,Clefairy,A timid fairy POKeMON that is rarely seen. It will run and hide the moment it senses people.,95,70,73,95,90,60,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/36.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/36.png
37,vulpix,Fox Pokemon,Generation-i,False,False,fire,0.6,9.9,"Flash fire, Drought (Hidden)",Grassland,None,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",38,41,40,50,65,65,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/37.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/37.png
38,ninetales,Fox Pokemon,Generation-i,False,False,fire,1.1,19.9,"Flash fire, Drought (Hidden)",Grassland,Vulpix,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,73,76,75,81,100,100,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/38.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/38.png
39,jigglypuff,Balloon Pokemon,Generation-i,False,False,"normal, fairy",0.5,5.5,"Cute charm, Competitive, Friend guard (Hidden)",Grassland,Igglybuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",115,45,20,45,25,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,2.0,0.5,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/39.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/39.png
40,wigglytuff,Balloon Pokemon,Generation-i,False,False,"normal, fairy",1.0,12.0,"Cute charm, Competitive, Frisk (Hidden)",Grassland,Jigglypuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",140,70,45,85,50,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,2.0,0.5,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/40.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/40.png
41,zubat,Bat Pokemon,Generation-i,False,False,"poison, flying",0.8,7.5,"Inner focus, Infiltrator (Hidden)",Cave,None,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,40,45,35,30,40,55,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/41.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/41.png
42,golbat,Bat Pokemon,Generation-i,False,False,"poison, flying",1.6,55.0,"Inner focus, Infiltrator (Hidden)",Cave,Zubat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",75,80,70,65,75,90,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/42.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/42.png
43,oddish,Weed Pokemon,Generation-i,False,False,"grass, poison",0.5,5.4,"Chlorophyll, Run away (Hidden)",Grassland,None,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",45,50,55,75,65,30,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/43.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/43.png
